Source:  results/ragas_evaluation/ragas_eval_concise_20260411_210513.json
  [web_rag  10/100] 1.000
  [web_rag  11/100] 1.000
  [web_rag  12/100] 1.000
  [web_rag  13/100] 0.000
  [web_rag  14/100] 1.000
  [web_rag  15/100] 1.000
  [web_rag  16/100] 0.000
  [web_rag  17/100] 1.000
  [web_rag  18/100] 0.000
  [web_rag  19/100] 1.000
  [web_rag  20/100] 1.000
  [web_rag  21/100] 0.000
  [web_rag  22/100] 1.000
  [web_rag  23/100] 0.000
  [web_rag  24/100] 0.000
  [web_rag  25/100] 0.000
  [web_rag  26/100] 0.000
  [web_rag  27/100] 1.000
  [web_rag  28/100] 0.000
  [web_rag  29/100] 0.000
  [web_rag  30/100] 0.500
  [web_rag  31/100] 1.000
  [web_rag  32/100] 0.500
  [web_rag  33/100] 0.833
  [web_rag  34/100] 1.000
  [web_rag  35/100] 0.000
  [web_rag  36/100] 1.000
  [web_rag  37/100] 0.000
  [web_rag  38/100] 0.000
  [web_rag  39/100] 0.583
  [web_rag  40/100] 0.500
  [web_rag  41/100] 0.000
  [web_rag  42/100] 1.000
  [web_rag  43/100] 1.000
  [web_rag  44/100] 1.000
  [web_rag  45/100] 0.583
  [web_rag  46/100] 0.333
  [web_rag  47/100] 1.000
  [web_rag  48/100] 0.000
  [web_rag  49/100] 0.000
  [web_rag  50/100] 0.000
  [web_rag  51/100] 1.000
  [web_rag  52/100] 0.000
  [web_rag  53/100] 1.000
  [web_rag  54/100] 0.000
  [web_rag  55/100] 0.000
  [web_rag  56/100] 0.000
  [web_rag  57/100] 0.000
  [web_rag  58/100] 1.000
  [web_rag  59/100] 0.000
  [web_rag  60/100] 1.000
  [web_rag  61/100] 0.500
  [web_rag  62/100] 0.000
  [web_rag  63/100] 1.000
  [web_rag  64/100] 0.000
  [web_rag  65/100] 0.000
  [web_rag  66/100] 0.000
  [web_rag  67/100] 0.000
  [web_rag  68/100] 0.000
  [web_rag  69/100] 0.000
  [web_rag  70/100] 1.000
  [web_rag  71/100] 0.000
  [web_rag  72/100] 0.833
  [web_rag  73/100] 0.000
  [web_rag  74/100] 1.000
  [web_rag  75/100] 0.000
  [web_rag  76/100] 0.000
  [web_rag  77/100] 0.000
  [web_rag  78/100] 0.000
  [web_rag  79/100] 0.000
  [web_rag  80/100] 0.000
  [web_rag  81/100] 0.000
  [web_rag  82/100] 0.000
  [web_rag  83/100] 0.000
  [web_rag  84/100] 0.833
  [web_rag  85/100] 0.000
  [web_rag  86/100] 0.000
  [web_rag  87/100] 0.000
  [web_rag  88/100] 0.000
  [web_rag  89/100] 0.500
  [web_rag  90/100] 1.000
  [web_rag  91/100] 0.000
  [web_rag  92/100] 0.000
  [web_rag  93/100] 0.333
  [web_rag  94/100] 0.000
  [web_rag  95/100] 0.000
  [web_rag  96/100] 0.000
  [web_rag  97/100] 1.000
  [web_rag  98/100] 0.000
  [web_rag  99/100] 0.000
  [web_rag 100/100] 0.833
  -> mean=0.387 sd=0.455 valid=100/100 nan=0 time=682s

Wrote patched JSON -> results/ragas_evaluation/ragas_eval_concise_20260411_210513.ctxprec_patched.json
